name,partyChanger,num,isFemale,isIndependent,isAkjol,isSDPK,isCommunist,isAtameken,isAtajurt,isRepublic,isArnamys,isBirbol,isKyrgyzstan,isOnuguu,isRepAtajurt,allParties,sozyv,party,sozyvMisser
Бекенова Зулхабира,0,70,1,0,1,0,0,0,0,0,0,0,0,0,0,",Ак Жол,,",4,Ак Жол,
Бекешев Дастан Далабайевич,1,11,0,0,0,1,0,0,0,0,1,0,0,0,0,",,Ар-Намыс,СДПК",5,Ар-Намыс,1.0
Бекешев Дастан Далабайевич,1,140,0,0,0,1,0,0,0,0,1,0,0,0,0,",,Ар-Намыс,СДПК",6,СДПК,1.0
Бекматов Абдыжапар Гапырович,0,81,0,0,0,0,0,0,0,1,0,0,0,0,0,",,Республика,",5,Республика,
Бекназаров Азимбек Анаркулович,0,19,0,1,0,0,0,0,0,0,0,0,0,0,0,"Самовыдвиженец,,,",3,Самовыдвиженец,
Бешимбаева Айгерим Кабылбековна,0,106,1,0,0,0,0,0,0,1,0,0,0,0,1,",,,Республика - Ата Журт",6,Республика - Ата Журт,
Бешимов Бактыбек Джолчубекович,0,89,0,0,0,1,0,0,0,0,0,0,0,0,0,",СДПК,,",4,СДПК,
Бокоев Кенжебек Сатымкулович,1,79,0,0,0,0,0,0,0,1,0,0,0,0,1,",,Республика,Республика - Ата Журт",5,Республика,1.0
Бокоев Кенжебек Сатымкулович,1,72,0,0,0,0,0,0,0,1,0,0,0,0,1,",,Республика,Республика - Ата Журт",6,Республика - Ата Журт,1.0
Бурканов Арзыбек Орозматович,0,40,0,1,1,0,0,0,0,0,0,0,0,0,0,"Самовыдвиженец,Ак Жол,,",3,Самовыдвиженец,1.0
Бурканов Арзыбек Орозматович,0,52,0,1,1,0,0,0,0,0,0,0,0,0,0,"Самовыдвиженец,Ак Жол,,",4,Ак Жол,1.0
Бурханов Авдикаримходжа Ходжаевич,0,69,0,0,1,0,0,0,0,0,0,0,0,0,0,",Ак Жол,,",4,Ак Жол,
Гайпкулов Искандер Торобаевич,0,9,0,0,0,0,0,1,0,0,0,0,0,0,0,",,,Ата Мекен",6,Ата Мекен,
Гусаров Игорь Константинович,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,",,Ар-Намыс,",5,Ар-Намыс,
Данилов Юрий Анатольевич,0,39,0,1,1,0,0,0,0,0,0,0,0,0,0,"Самовыдвиженец,Ак Жол,,",3,Самовыдвиженец,1.0
Данилов Юрий Анатольевич,0,68,0,1,1,0,0,0,0,0,0,0,0,0,0,"Самовыдвиженец,Ак Жол,,",4,Ак Жол,1.0
Дербишева Гульнара Толубаевна,0,67,1,0,1,0,0,0,0,0,0,0,0,0,0,",Ак Жол,,",4,Ак Жол,
Джакупова Чолпон Идиновна,0,28,1,0,0,0,0,0,0,0,0,1,0,0,0,",,,Бир Бол",6,Бир Бол,
Джетигенов Бакытбек Дженишбекович,1,4,0,0,0,1,0,0,0,0,1,0,0,0,0,",,Ар-Намыс,СДПК",5,Ар-Намыс,1.0
Джетигенов Бакытбек Дженишбекович,1,141,0,0,0,1,0,0,0,0,1,0,0,0,0,",,Ар-Намыс,СДПК",6,СДПК,1.0
Джолдошев Кубанычбек Ниязович,0,66,0,0,1,0,0,0,0,0,0,0,0,0,0,",Ак Жол,,",4,Ак Жол,
Джолдошова Жылдызкан Айтибаевна,0,64,1,0,0,0,0,0,1,0,0,0,0,0,0,",,Ата-Журт,",5,Ата-Журт,
Джумабеков Дастанбек Артисбекович,1,63,0,0,0,0,0,0,1,0,0,0,1,0,0,",,Ата-Журт,Кыргызстан",5,Ата-Журт,1.0
Джумабеков Дастанбек Артисбекович,1,50,0,0,0,0,0,0,1,0,0,0,1,0,0,",,Ата-Журт,Кыргызстан",6,Кыргызстан,1.0
Джумалиева Эльмира Бусурманкуловна,0,74,1,0,0,0,0,0,0,1,0,0,0,0,0,",,Республика,",5,Республика,
Джунусов Ибрагим Коджоназарович,1,65,0,0,1,0,0,0,1,0,0,0,0,0,0,",Ак Жол,Ата-Журт,",4,Ак Жол,1.0
Джунусов Ибрагим Коджоназарович,1,44,0,0,1,0,0,0,1,0,0,0,0,0,0,",Ак Жол,Ата-Журт,",5,Ата-Журт,1.0
Джураев Мурат Каттабекович,0,38,0,1,0,1,0,0,0,0,0,0,0,0,0,"Самовыдвиженец,СДПК,,",3,Самовыдвиженец,1.0
Джураев Мурат Каттабекович,0,103,0,1,0,1,0,0,0,0,0,0,0,0,0,"Самовыдвиженец,СДПК,,",4,СДПК,1.0
Джураев Сайдолимжон Маруфович,0,133,0,0,0,1,0,0,0,0,0,0,0,0,0,",,,СДПК",6,СДПК,
Джээнбеков Жусупжан Амражанович,0,102,0,0,0,1,0,0,0,0,0,0,0,0,0,",СДПК,,",4,СДПК,
Домшенко Олег Леонидович,0,103,0,0,0,1,0,0,0,0,0,0,0,0,0,",,СДПК,",5,СДПК,
Досалиев Акуналы Атамурзаевич,0,42,0,0,0,0,0,1,0,0,0,0,0,0,0,",,Ата Мекен,",5,Ата Мекен,
Дюшалиев Абдыбек Кашымбекович,0,85,0,0,0,0,0,0,0,1,0,0,0,0,1,",,,Республика - Ата Журт",6,Республика - Ата Журт,
Жакыпов Жолдошбек Сейталиевич,0,64,0,0,1,0,0,0,0,0,0,0,0,0,0,",Ак Жол,,",4,Ак Жол,
Жамалдинов Зиядин Исламович,1,37,0,1,1,0,0,0,0,0,0,0,0,1,0,"Самовыдвиженец,Ак Жол,,Онугуу-Прогресс",3,Самовыдвиженец,2.0
Жамалдинов Зиядин Исламович,1,63,0,1,1,0,0,0,0,0,0,0,0,1,0,"Самовыдвиженец,Ак Жол,,Онугуу-Прогресс",4,Ак Жол,2.0
Жамалдинов Зиядин Исламович,1,65,0,1,1,0,0,0,0,0,0,0,0,1,0,"Самовыдвиженец,Ак Жол,,Онугуу-Прогресс",6,Онугуу-Прогресс,2.0
Жамангулов Акылбек Жекшенович,0,84,0,0,0,0,0,0,0,1,0,0,0,0,1,",,,Республика - Ата Журт",6,Республика - Ата Журт,
Жамгырчиева Гульнара Оморовна,0,109,1,0,0,1,0,0,0,0,0,0,0,0,0,",,СДПК,",5,СДПК,
Жапаров Акылбек Усенбекович,1,19,0,0,0,0,0,0,0,0,1,1,0,0,0,",,Ар-Намыс,Бир Бол",5,Ар-Намыс,1.0
