name,isPartyConstant,partyCount,partyChanger,num,isFemale,isIndependent,isAkjol,isSDPK,isCommunist,isAtameken,isAtajurt,isRepublic,isArnamys,isAlga,isAdilet,isOther,isNodata,isBirbol,isKyrgyzstan,isOnuguu,isRepAtajurt,allParties,sozyv,party,sozyvMisser,idname
Алтыбаева Айнура Тойчиевна,0,2,1,142,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,",,,,Ар-Намыс,СДПК",6,СДПК,1.0,43
Алтынбеков Айбек,0,1,0,80,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,",,,,,Республика - Ата Журт",6,Республика - Ата Журт,,44
Алыбаев Орозбек Артельевич,0,1,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,",,,,,Кыргызстан",6,Кыргызстан,,45
Алыкулов Муканбек Калмаматович,0,2,0,67,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"Нет данных,Нет данных,,,,",1,Нет данных,1.0,46
Алыкулов Муканбек Калмаматович,0,2,0,12,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"Нет данных,Нет данных,,,,",2,Нет данных,1.0,46
Алыкулов Тыныбек Маматжанович,0,1,0,66,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"Нет данных,,,,,",1,Нет данных,,47
Алымбеков Бактыбек Маданбекович,0,1,0,62,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,",Нет данных,,,,",2,Нет данных,,48
Алымбеков Замирбек Маданбекович,0,1,0,110,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,",,,,СДПК,",5,СДПК,,49
Алымбеков Эркинбек Джумабаевич,0,2,0,36,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,",,Самовыдвиженец,,Ата Мекен,",3,Самовыдвиженец,2.0,50
Алымбеков Эркинбек Джумабаевич,0,2,0,37,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,",,Самовыдвиженец,,Ата Мекен,",5,Ата Мекен,2.0,50
Алымкулов Карыпбек,0,1,0,73,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,",Нет данных,,,,",2,Нет данных,,51
Аманбаева Урулкан Абдилашимовна,0,1,0,71,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,",,,,Республика,",5,Республика,,52
Аманкулов Марат Аскерович,0,1,0,136,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,",,,,,СДПК",6,СДПК,,53
Анаркулов Тургунбай,0,1,0,76,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"Нет данных,,,,,",1,Нет данных,,54
Арабаев Автандил Анисович,0,1,0,47,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,",,,Ак Жол,,",4,Ак Жол,,55
Арапбаев Азамат Абдуллажанович,0,3,1,46,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,",,,Ак Жол,Ата-Журт,СДПК",4,Ак Жол,1.0,56
Арапбаев Азамат Абдуллажанович,0,3,1,70,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,",,,Ак Жол,Ата-Журт,СДПК",5,Ата-Журт,1.0,56
Арапбаев Азамат Абдуллажанович,0,3,1,138,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,",,,Ак Жол,Ата-Журт,СДПК",6,СДПК,1.0,56
Арипов Назарали Турдалиевич,0,1,0,75,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,",,,,Республика,",5,Республика,,57
Аркабаев Номанжан Акматович,0,1,0,41,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,",,Самовыдвиженец,,,",3,Самовыдвиженец,,58
Арсалиев Эрик Сайдалиевич,0,1,0,45,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,",,,Ак Жол,,",4,Ак Жол,,59
Арстанбеков Акылбек Советбекович,0,1,0,54,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,",,Самовыдвиженец,,,",3,Самовыдвиженец,,60
Артыкбаев Осмонбек Мамбетжанович,0,3,1,21,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,",,Алга Кыргызстан,СДПК,,СДПК",3,Алга Кыргызстан,2.0,61
Артыкбаев Осмонбек Мамбетжанович,0,3,1,96,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,",,Алга Кыргызстан,СДПК,,СДПК",4,СДПК,2.0,61
Артыкбаев Осмонбек Мамбетжанович,0,3,1,125,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,",,Алга Кыргызстан,СДПК,,СДПК",6,СДПК,2.0,61
Артыков Анвар Артыкович,0,3,1,14,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,"Нет данных,,,,Ар-Намыс,СДПК",1,Нет данных,4.0,62
Артыков Анвар Артыкович,0,3,1,15,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,"Нет данных,,,,Ар-Намыс,СДПК",5,Ар-Намыс,4.0,62
Артыков Анвар Артыкович,0,3,1,113,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,"Нет данных,,,,Ар-Намыс,СДПК",6,СДПК,4.0,62
Асанакунов Мирбек Аскерович,0,1,0,100,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,",,,СДПК,,",4,СДПК,,63
Асаналев Ганы Бекбоевич,0,1,0,65,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"Нет данных,,,,,",1,Нет данных,,64
Асанов Бектур Жантороевич,0,1,0,72,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,",Нет данных,,,,",2,Нет данных,,65
Асанов Курсан Сатарович,0,1,0,105,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,",,,,СДПК,",5,СДПК,,66
Аскарова Айнура Алмасбековна,0,1,0,43,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,",,,,,Кыргызстан",6,Кыргызстан,,67
Асылбаева Гюльшат Кадыровна,0,1,0,61,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,",,,,,Онугуу-Прогресс",6,Онугуу-Прогресс,,68
Асылбек уулу Дамирбек,0,2,1,73,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,",,,Ак Жол,,Кыргызстан",4,Ак Жол,2.0,69
Асылбек уулу Дамирбек,0,2,1,54,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,",,,Ак Жол,,Кыргызстан",6,Кыргызстан,2.0,69
Асымбекова Гульнара Уметовна,0,1,0,13,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,",,,,Ар-Намыс,",5,Ар-Намыс,,70
Атаджанов Сабир Садыкджанович,0,1,0,112,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,",,,,СДПК,",5,СДПК,,71
Атамбаев Алмазбек Шаршенович,0,2,0,63,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,"Нет данных,,,,СДПК,",1,Нет данных,4.0,72
Атамбаев Алмазбек Шаршенович,0,2,0,116,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,"Нет данных,,,,СДПК,",5,СДПК,4.0,72
Атамбаев Нурпазыл Сатышович,0,1,0,44,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,",,,Ак Жол,,",4,Ак Жол,,73
Аттокуров Данияр Бексултанович,0,1,0,119,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,",,,,,СДПК",6,СДПК,,74
Аттокуров Осмонали Абдибалиевич,0,1,0,43,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,",,,Ак Жол,,",4,Ак Жол,,75
Ачылова Рахат,0,1,0,13,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"Нет данных,,,,,",1,Нет данных,,76
Баатырбеков Алмазбек Баатырбекович,0,2,1,91,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,",,,,Республика,Кыргызстан",5,Республика,1.0,77
Баатырбеков Алмазбек Баатырбекович,0,2,1,39,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,",,,,Республика,Кыргызстан",6,Кыргызстан,1.0,77
Бабанов Омурбек Токтогулович,1,3,0,30,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,",,Самовыдвиженец,,Республика,Республика - Ата Журт",3,Самовыдвиженец,2.0,78
Бабанов Омурбек Токтогулович,1,3,0,93,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,",,Самовыдвиженец,,Республика,Республика - Ата Журт",5,Республика,2.0,78
Бабанов Омурбек Токтогулович,1,3,0,89,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,",,Самовыдвиженец,,Республика,Республика - Ата Журт",6,Республика - Ата Журт,2.0,78
Бадыкеева Нуржана Нуралиевна,0,1,0,5,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,",,,,Ар-Намыс,",5,Ар-Намыс,,79
Баекова Чолпон Турсуновна,0,1,0,42,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,",,,Ак Жол,,",4,Ак Жол,,80
Базаркулова Гульмира Мукашевна,0,1,0,74,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,",,,Ак Жол,,",4,Ак Жол,,81
Байбакпаев Экмат Джурукпаевич,0,1,0,90,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,",,,,,Республика - Ата Журт",6,Республика - Ата Журт,,82
Байболов Кубатбек Калбекович,0,3,0,23,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"Нет данных,Нет данных,Самовыдвиженец,,,",1,Нет данных,1.0,83
Байболов Кубатбек Калбекович,0,3,0,71,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"Нет данных,Нет данных,Самовыдвиженец,,,",2,Нет данных,1.0,83
Байболов Кубатбек Калбекович,0,3,0,27,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"Нет данных,Нет данных,Самовыдвиженец,,,",3,Самовыдвиженец,1.0,83
Байбураева Айгуль Бекишовна,0,1,0,49,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,",,,Ак Жол,,",4,Ак Жол,,84
Байкоджоев Болот Мукашевич,0,2,0,104,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"Нет данных,Нет данных,,,,",1,Нет данных,1.0,85
Байкоджоев Болот Мукашевич,0,2,0,10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"Нет данных,Нет данных,,,,",2,Нет данных,1.0,85
Байло Николай Иванович,0,2,0,70,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,",Нет данных,,Партия коммунистов КР,,",2,Нет данных,2.0,86
Байло Николай Иванович,0,2,0,83,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,",Нет данных,,Партия коммунистов КР,,",4,Партия коммунистов КР,2.0,86
Баймуратов Калдарбек Шакирович,0,1,0,69,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,",,,,,Республика - Ата Журт",6,Республика - Ата Журт,,87
Байсалов Эркин Абдыкадырович,0,1,0,56,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,",,Самовыдвиженец,,,",3,Самовыдвиженец,,88
Байтиков Асанбек Байдолотович,0,1,0,51,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,",,,Ак Жол,,",4,Ак Жол,,89
Бакиев Осмонбек Керимбаевич,0,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,",Нет данных,,,,",2,Нет данных,,90
Бакир уулу Турсунбай,0,3,0,12,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,"Нет данных,Нет данных,,,Ар-Намыс,",1,Нет данных,3.0,91
