name,party_I,party_II,party_III,party_IV,party_V,party_VI,partyChanger,isFemale,allParties,partyCount,isPartyConstant
Келдибаев Сагындык Аширалиевич,,,,,,Республика - Ата Журт,0,0,",,,,,Республика - Ата Журт",1,False
Казакбаев Руслан Айтбаевич,,,,,,Республика - Ата Журт,0,0,",,,,,Республика - Ата Журт",1,False
Кыдыралиев Умбеталы Токторалиевич,,,,,,Республика - Ата Журт,0,0,",,,,,Республика - Ата Журт",1,False
Нишанов Нургазы Нурланович,,,,,,Республика - Ата Журт,0,0,",,,,,Республика - Ата Журт",1,False
Иминов Фархат Ажмуханбетович,,,,,,Республика - Ата Журт,0,0,",,,,,Республика - Ата Журт",1,False
Саматов Жыргалбек Алимбаевич,,,,,,Республика - Ата Журт,0,0,",,,,,Республика - Ата Журт",1,False
Бешимбаева Айгерим Кабылбековна,,,,,,Республика - Ата Журт,0,1,",,,,,Республика - Ата Журт",1,False
Артыков Анвар Артыкович,Самовыдвиженцы,,,,Ар-Намыс,СДПК,1,0,"Самовыдвиженцы,,,,Ар-Намыс,СДПК",3,False
Джетигенов Бакытбек Дженишбекович,,,,,Ар-Намыс,СДПК,1,0,",,,,Ар-Намыс,СДПК",2,False
Рыспаев Кожобек Джайчыбекович,,,,,Ар-Намыс,СДПК,1,0,",,,,Ар-Намыс,СДПК",2,False
Бекешев Дастан Далабайевич,,,,,Ар-Намыс,СДПК,1,0,",,,,Ар-Намыс,СДПК",2,False
Алтыбаева Айнура Тойчиевна,,,,,Ар-Намыс,СДПК,1,1,",,,,Ар-Намыс,СДПК",2,False
Арапбаев Азамат Абдуллажанович,,,,Ак Жол,Ата-Журт,СДПК,1,0,",,,Ак Жол,Ата-Журт,СДПК",3,False
Скрипкина Галина Анатольевна,,,,СДПК,СДПК,СДПК,0,1,",,,СДПК,СДПК,СДПК",3,True
Жээнбеков Асылбек Шарипович,,,,СДПК,СДПК,СДПК,0,0,",,,СДПК,СДПК,СДПК",3,True
Карамушкина Ирина Юрьевна,,,,СДПК,СДПК,СДПК,0,1,",,,СДПК,СДПК,СДПК",3,True
Зулпукаров Торобай Закирович,,,,,СДПК,СДПК,0,0,",,,,СДПК,СДПК",2,True
Турсунбеков Чыныбай Акунович,,,,,СДПК,СДПК,0,0,",,,,СДПК,СДПК",2,True
Омуркулов Иса Шейшенкулович,Самовыдвиженцы,Самовыдвиженцы,Адилет,СДПК,,СДПК,1,0,"Самовыдвиженцы,Самовыдвиженцы,Адилет,СДПК,,СДПК",5,False
Артыкбаев Осмонбек Мамбетжанович,,,Алга Кыргызстан,СДПК,,СДПК,1,0,",,Алга Кыргызстан,СДПК,,СДПК",3,False
Кодуранова Асель Союзбековна,,,,СДПК,,СДПК,0,1,",,,СДПК,,СДПК",2,True
Примов Улан Бердибаевич,,,,,,СДПК,0,0,",,,,,СДПК",1,False
Матраимов Искендер Исмаилович,,,,,,СДПК,0,0,",,,,,СДПК",1,False
Керезбеков Канат Керезбекович,,,,,,СДПК,0,0,",,,,,СДПК",1,False
Осмонова Айнура Шермаматовна,,,,,,СДПК,0,1,",,,,,СДПК",1,False
Молдобекова Гулкан Сакиновна,,,,,,СДПК,0,1,",,,,,СДПК",1,False
Айнакулов Мухтарбек Айнакулович,,,,,,СДПК,0,0,",,,,,СДПК",1,False
Маннанов Ильхом Абдукахарович,,,,,,СДПК,0,0,",,,,,СДПК",1,False
Момбеков Рыскелди Чыныбекович,,,,,,СДПК,0,0,",,,,,СДПК",1,False
Орозова Карамат Бабашевна,,,,,,СДПК,0,1,",,,,,СДПК",1,False
Аттокуров Данияр Бексултанович,,,,,,СДПК,0,0,",,,,,СДПК",1,False
Сурабалдиева Эльвира Жыргалбековна,,,,,,СДПК,0,1,",,,,,СДПК",1,False
Кулбараков Абтандил Илдузович,,,,,,СДПК,0,0,",,,,,СДПК",1,False
Акаев Жанарбек Кубанычович,,,,,,СДПК,0,0,",,,,,СДПК",1,False
Мадеминов Мурадыл Ганыевич,,,,,,СДПК,0,0,",,,,,СДПК",1,False
Эгембердиев Максатбек Бакирович,,,,,,СДПК,0,0,",,,,,СДПК",1,False
Мусабекова Жылдыз Аманбековна,,,,,,СДПК,0,1,",,,,,СДПК",1,False
Бакиров Омурбек Мирзараимович,,,,,,СДПК,0,0,",,,,,СДПК",1,False
Каримов Нодирбек Тохтосинович,,,,,,СДПК,0,0,",,,,,СДПК",1,False
Самигуллина Альфия Эльдаровна,,,,,,СДПК,0,1,",,,,,СДПК",1,False
Джураев Сайдолимжон Маруфович,,,,,,СДПК,0,0,",,,,,СДПК",1,False
Мискенбаев Мээрбек Жайлообаевич,,,,,,СДПК,0,0,",,,,,СДПК",1,False
Касымалиева Аида Камчыбековна,,,,,,СДПК,0,1,",,,,,СДПК",1,False
Кадыркулов Искендер Анарбекович,,,,,,СДПК,0,0,",,,,,СДПК",1,False
Аманкулов Марат Аскерович,,,,,,СДПК,0,0,",,,,,СДПК",1,False
Нурбаев Абдывахап Мамадрасулович,,,,,,СДПК,0,0,",,,,,СДПК",1,False
Исаев Тилектеш Каримович,,,,,,СДПК,0,0,",,,,,СДПК",1,False
Строкова Евгения Григорьевна,,,,,,СДПК,0,1,",,,,,СДПК",1,False
Исаков Музаффар Ахматходжаевич,,,,,,СДПК,0,0,",,,,,СДПК",1,False
